Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Lenovo Legion Slim 5 16APH8 AMD Ryzen 7 7840H ...,Ryzen 7,Not Applicable,16GB,512GB SSD,8GB,16,"Tk 212,000"
Lenovo Yoga Pro 7 14ARP8 AMD Ryzen 7 7735HS 1 ...,Ryzen 7,Not Applicable,16GB,512GB SSD,6GB,14.5,"Tk 187,000"
Lenovo IdeaPad Gaming 3 15ARH7 AMD Ryzen 5 75 ...,Ryzen 5,Not Applicable,8GB,512GB SSD,4GB,15.6,"Tk 117,500"
Lenovo IdeaPad Pro 5 16ARP8 AMD Ryzen 5 7535H ...,Ryzen 5,Not Applicable,16GB,512GB SSD,Shared,16,"Tk 125,500"
Lenovo Yoga 6 13ABR8 AMD Ryzen 7 7730U 16GB R ...,Ryzen 7,Not Applicable,16GB,512GB SSD,Shared,13.3,"Tk 125,500"
Lenovo Yoga 6 13ABR8 AMD Ryzen 5 7530U 16GB R ...,Ryzen 5,Not Applicable,16GB,512GB SSD,Shared,13.3,"Tk 114,500"
Infinix INBOOK X2 Intel Core i5 1155G7 8GB RA ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,14,"Tk 61,990"
Lenovo IdeaPad Slim 3i 14IRH8 Intel Core i5 1 ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,14,"Tk 81,500"
Lenovo IdeaPad Slim 3i 15IRH8 Intel Core i5 1 ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 81,500"
Lenovo IdeaPad Slim 3i 15IRH8 Intel Core i5 1 ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 81,500"
Lenovo IdeaPad Slim 3i 15IRU8 Intel Core i3 1 ...,Core i3,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 65,500"
Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1 ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 59,500"
Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1 ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,14,"Tk 59,500"
Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1 ...,Core i3,12th (Intel),8GB,256GB SSD,Shared,14,"Tk 56,500"
Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8 ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 58,990"
Apple Macbook Pro (Late 2023) Apple M3 Max 12 ...,Apple M3,Not Applicable,128GB,Shared,16.2,N/A,"Tk 1,095,000 (Estimated)"
Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8 ...,Core i5,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 58,990"
Apple Macbook Pro (Late 2023) Apple M3 Max 64 ...,Apple M3,Not Applicable,64GB,4TB SSD,Shared,16.2,"Tk 765,000 (Estimated)"
Asus TUF Gaming F15 FX506HE Intel Core i7 118 ...,Core i7,11th (Intel),8GB,512GB SSD,4GB,15.6,"Tk 129,900"
